-3.00 -1.00  1.00  3.00
-2.97 -0.97  0.97  2.97
-2.89 -0.89  0.89  2.89
-2.76 -0.76  0.76  2.76
-2.58 -0.58  0.58  2.58
-2.35 -0.35  0.35  2.35
-2.09 -0.09  0.09  2.09
-1.80 -0.20  0.20  1.80
-1.49 -0.51  0.51  1.49
-1.17 -0.83  0.83  1.17
-1.17 -0.83  0.83  1.17
-1.49 -0.51  0.51  1.49
-1.80 -0.20  0.20  1.80
-2.09 -0.09  0.09  2.09
-2.35 -0.35  0.35  2.35
-2.58 -0.58  0.58  2.58
-2.76 -0.76  0.76  2.76
-2.89 -0.89  0.89  2.89
-2.97 -0.97  0.97  2.97
-3.00 -1.00  1.00  3.00
